Filenames,Predictions
open manholes\open_manholes_test (1).jpeg,overflowing garbage
open manholes\open_manholes_test (1).jpg,overflowing garbage
open manholes\open_manholes_test (11).jpg,patchy roads
open manholes\open_manholes_test (12).jpg,open manholes
open manholes\open_manholes_test (13).jpg,patchy roads
open manholes\open_manholes_test (14).jpg,overflowing garbage
open manholes\open_manholes_test (15).jpg,open manholes
open manholes\open_manholes_test (16).jpg,overflowing garbage
open manholes\open_manholes_test (17).jpg,overflowing garbage
open manholes\open_manholes_test (18).jpg,patchy roads
open manholes\open_manholes_test (2).jpg,overflowing garbage
open manholes\open_manholes_test (3).jpg,open manholes
open manholes\open_manholes_test (5).jpg,patchy roads
open manholes\open_manholes_test (6).jpg,open manholes
open manholes\open_manholes_test (8).jpg,patchy roads
open manholes\open_manholes_test (9).jpg,overflowing garbage
overflowing garbage\garbage_test (1).jpg,patchy roads
overflowing garbage\garbage_test (1).png,overflowing garbage
overflowing garbage\garbage_test (10).jpg,patchy roads
overflowing garbage\garbage_test (11).jpg,overflowing garbage
overflowing garbage\garbage_test (12).jpg,overflowing garbage
overflowing garbage\garbage_test (13).jpg,patchy roads
overflowing garbage\garbage_test (14).jpg,overflowing garbage
overflowing garbage\garbage_test (15).jpg,overflowing garbage
overflowing garbage\garbage_test (17).jpg,open manholes
overflowing garbage\garbage_test (18).jpg,patchy roads
overflowing garbage\garbage_test (2).jpg,overflowing garbage
overflowing garbage\garbage_test (20).jpg,patchy roads
overflowing garbage\garbage_test (22).jpg,overflowing garbage
overflowing garbage\garbage_test (23).jpg,overflowing garbage
overflowing garbage\garbage_test (24).jpg,patchy roads
overflowing garbage\garbage_test (25).jpg,overflowing garbage
overflowing garbage\garbage_test (26).jpg,overflowing garbage
overflowing garbage\garbage_test (28).jpg,patchy roads
overflowing garbage\garbage_test (3).jpg,open manholes
overflowing garbage\garbage_test (31).jpg,patchy roads
overflowing garbage\garbage_test (32).jpg,patchy roads
overflowing garbage\garbage_test (33).jpg,overflowing garbage
overflowing garbage\garbage_test (34).jpg,overflowing garbage
overflowing garbage\garbage_test (35).jpg,patchy roads
overflowing garbage\garbage_test (36).jpg,patchy roads
overflowing garbage\garbage_test (4).jpg,overflowing garbage
overflowing garbage\garbage_test (5).jpg,open manholes
overflowing garbage\garbage_test (6).jpg,patchy roads
overflowing garbage\garbage_test (7).jpg,open manholes
overflowing garbage\garbage_test (8).jpg,overflowing garbage
overflowing garbage\garbage_test (9).jpg,overflowing garbage
patchy roads\patchy_test (1).jpg,overflowing garbage
patchy roads\patchy_test (10).jpg,patchy roads
patchy roads\patchy_test (11).jpg,overflowing garbage
patchy roads\patchy_test (12).jpg,patchy roads
patchy roads\patchy_test (13).jpg,patchy roads
patchy roads\patchy_test (14).jpg,open manholes
patchy roads\patchy_test (15).jpg,overflowing garbage
patchy roads\patchy_test (16).jpg,patchy roads
patchy roads\patchy_test (17).jpg,patchy roads
patchy roads\patchy_test (18).jpg,patchy roads
patchy roads\patchy_test (19).jpg,overflowing garbage
patchy roads\patchy_test (2).jpg,overflowing garbage
patchy roads\patchy_test (20).jpg,patchy roads
patchy roads\patchy_test (21).jpg,open manholes
patchy roads\patchy_test (22).jpg,patchy roads
patchy roads\patchy_test (3).jpg,overflowing garbage
patchy roads\patchy_test (4).jpg,open manholes
patchy roads\patchy_test (5).jpg,overflowing garbage
patchy roads\patchy_test (6).jpg,overflowing garbage
patchy roads\patchy_test (7).jpg,patchy roads
patchy roads\patchy_test (8).jpg,overflowing garbage
patchy roads\patchy_test (9).jpg,patchy roads
